Country_Code,Country_Name,Year,Production_KTOE,Production_BOPD
AGO,Angola,1990,23826.95,471774
AGO,Angola,1991,24992.93,494860
AGO,Angola,1992,27691.41,548290
AGO,Angola,1993,25370.69,502340
AGO,Angola,1994,27685.29,548169
AGO,Angola,1995,31008.63,613971
AGO,Angola,1996,34252.32,678196
AGO,Angola,1997,35886.94,710561
AGO,Angola,1998,37145.82,735487
AGO,Angola,1999,37626.71,745009
AGO,Angola,2000,37598.12,744443
AGO,Angola,2001,37234.65,737246
AGO,Angola,2002,44969.7,890400
AGO,Angola,2003,44651.16,884093
AGO,Angola,2004,50481.03,999524
AGO,Angola,2005,63622.26,1259721
AGO,Angola,2006,71973.99,1425085
AGO,Angola,2007,86690.61,1716474
AGO,Angola,2008,97302.82,1926596
AGO,Angola,2009,92346.92,1828469
AGO,Angola,2010,89725.0,1776555
AGO,Angola,2011,82598.46,1635450
AGO,Angola,2012,87226.63,1727087
AGO,Angola,2013,87578.87,1734062
AGO,Angola,2014,85338.81,1689708
AGO,Angola,2015,90844.01,1798711
AGO,Angola,2016,86219.93,1707155
AGO,Angola,2017,82888.42,1641191
ALB,Albania,1990,1067.0,21127
ALB,Albania,1991,845.0,16731
ALB,Albania,1992,585.0,11583
ALB,Albania,1993,568.0,11246
ALB,Albania,1994,535.0,10593
ALB,Albania,1995,521.0,10316
ALB,Albania,1996,489.0,9682
ALB,Albania,1997,360.0,7128
ALB,Albania,1998,365.0,7227
ALB,Albania,1999,328.0,6494
ALB,Albania,2000,314.0,6217
ALB,Albania,2001,308.0,6098
ALB,Albania,2002,371.0,7346
ALB,Albania,2003,360.0,7128
ALB,Albania,2004,443.0,8771
ALB,Albania,2005,418.0,8276
ALB,Albania,2006,500.0,9900
ALB,Albania,2007,564.0,11167
ALB,Albania,2008,578.0,11444
ALB,Albania,2009,577.0,11425
ALB,Albania,2010,744.0,14731
ALB,Albania,2011,895.0,17721
ALB,Albania,2012,1031.0,20414
ALB,Albania,2013,1207.0,23899
ALB,Albania,2014,1368.0,27086
ALB,Albania,2015,1279.0,25324
ALB,Albania,2016,1056.0,20909
ALB,Albania,2017,959.0,18988
ARE,United Arab Emirates,1990,88981.11,1761826
ARE,United Arab Emirates,1991,102389.31,2027308
ARE,United Arab Emirates,1992,109558.13,2169251
ARE,United Arab Emirates,1993,105587.89,2090640
ARE,United Arab Emirates,1994,105940.12,2097614
ARE,United Arab Emirates,1995,105073.8,2080461
ARE,United Arab Emirates,1996,105685.62,2092575
ARE,United Arab Emirates,1997,110586.32,2189609
ARE,United Arab Emirates,1998,112220.22,2221960
ARE,United Arab Emirates,1999,100220.95,1984375
ARE,United Arab Emirates,2000,109368.78,2165502
ARE,United Arab Emirates,2001,104643.18,2071935
ARE,United Arab Emirates,2002,97848.99,1937410
ARE,United Arab Emirates,2003,109965.33,2177314
ARE,United Arab Emirates,2004,114955.61,2276121
ARE,United Arab Emirates,2005,116324.83,2303232
ARE,United Arab Emirates,2006,125619.25,2487261
ARE,United Arab Emirates,2007,123711.5,2449488
ARE,United Arab Emirates,2008,126168.98,2498146
ARE,United Arab Emirates,2009,113651.54,2250300
ARE,United Arab Emirates,2010,117808.07,2332600
ARE,United Arab Emirates,2011,129974.3,2573491
ARE,United Arab Emirates,2012,134854.63,2670122
ARE,United Arab Emirates,2013,141786.26,2807368
ARE,United Arab Emirates,2014,141618.28,2804042
ARE,United Arab Emirates,2015,151518.42,3000065
ARE,United Arab Emirates,2016,156965.79,3107923
ARE,United Arab Emirates,2017,150944.26,2988696
ARG,Argentina,1990,24741.0,489872
ARG,Argentina,1991,25330.0,501534
ARG,Argentina,1992,28553.0,565349
ARG,Argentina,1993,30486.0,603623
ARG,Argentina,1994,34278.0,678704
ARG,Argentina,1995,36939.0,731392
ARG,Argentina,1996,40311.0,798158
ARG,Argentina,1997,42837.0,848173
ARG,Argentina,1998,43513.0,861557
ARG,Argentina,1999,41045.0,812691
ARG,Argentina,2000,39530.0,782694
ARG,Argentina,2001,40089.0,793762
ARG,Argentina,2002,38744.0,767131
ARG,Argentina,2003,37079.0,734164
ARG,Argentina,2004,35551.0,703910
ARG,Argentina,2005,33934.0,671893
ARG,Argentina,2006,33850.0,670230
ARG,Argentina,2007,32945.0,652311
ARG,Argentina,2008,32323.0,639995
ARG,Argentina,2009,32002.0,633640
ARG,Argentina,2010,31274.0,619225
ARG,Argentina,2011,29861.0,591248
ARG,Argentina,2012,28324.0,560815
ARG,Argentina,2013,26978.0,534164
ARG,Argentina,2014,27484.0,544183
ARG,Argentina,2015,27496.0,544421
ARG,Argentina,2016,26440.0,523512
ARG,Argentina,2017,24766.0,490367
ARM,Armenia,1990,0.0,0
ARM,Armenia,1991,0.0,0
ARM,Armenia,1992,0.0,0
ARM,Armenia,1993,0.0,0
ARM,Armenia,1994,0.0,0
ARM,Armenia,1995,0.0,0
ARM,Armenia,1996,0.0,0
ARM,Armenia,1997,0.0,0
ARM,Armenia,1998,0.0,0
ARM,Armenia,1999,0.0,0
ARM,Armenia,2000,0.0,0
ARM,Armenia,2001,0.0,0
ARM,Armenia,2002,0.0,0
ARM,Armenia,2003,0.0,0
ARM,Armenia,2004,0.0,0
ARM,Armenia,2005,0.0,0
ARM,Armenia,2006,0.0,0
ARM,Armenia,2007,0.0,0
ARM,Armenia,2008,0.0,0
ARM,Armenia,2009,0.0,0
ARM,Armenia,2010,0.0,0
ARM,Armenia,2011,0.0,0
ARM,Armenia,2012,0.0,0
ARM,Armenia,2013,0.0,0
ARM,Armenia,2014,0.0,0
ARM,Armenia,2015,0.0,0
ARM,Armenia,2016,0.0,0
ARM,Armenia,2017,0.0,0
AUS,Australia,1990,26752.6,529701
AUS,Australia,1991,26717.94,529015
AUS,Australia,1992,23439.13,464095
AUS,Australia,1993,22940.11,454214
AUS,Australia,1994,21286.52,421473
AUS,Australia,1995,22718.44,449825
AUS,Australia,1996,20539.57,406683
AUS,Australia,1997,20494.4,405789
AUS,Australia,1998,22008.26,435764
AUS,Australia,1999,16551.63,327722
AUS,Australia,2000,25081.16,496607
AUS,Australia,2001,26611.83,526914
AUS,Australia,2002,30307.71,600093
AUS,Australia,2003,29403.18,582183
AUS,Australia,2004,25785.04,510544
AUS,Australia,2005,22928.55,453985
AUS,Australia,2006,20414.55,404208
AUS,Australia,2007,23214.31,459643
AUS,Australia,2008,21500.84,425717
AUS,Australia,2009,22170.04,438967
AUS,Australia,2010,23141.82,458208
AUS,Australia,2011,22232.03,440194
AUS,Australia,2012,20728.67,410428
AUS,Australia,2013,17979.35,355991
AUS,Australia,2014,16925.63,335127
AUS,Australia,2015,16159.77,319963
AUS,Australia,2016,15783.67,312517
AUS,Australia,2017,13563.83,268564
AUT,Austria,1990,1166.34,23094
AUT,Austria,1991,1299.32,25727
AUT,Austria,1992,1197.81,23717
AUT,Austria,1993,1171.42,23194
AUT,Austria,1994,1115.59,22089
AUT,Austria,1995,1050.62,20802
AUT,Austria,1996,1006.97,19938
AUT,Austria,1997,986.9,19541
AUT,Austria,1998,973.48,19275
AUT,Austria,1999,1020.28,20202
AUT,Austria,2000,989.32,19589
AUT,Austria,2001,971.45,19235
AUT,Austria,2002,962.31,19054
AUT,Austria,2003,932.87,18471
AUT,Austria,2004,985.66,19516
AUT,Austria,2005,867.91,17185
AUT,Austria,2006,868.92,17205
AUT,Austria,2007,865.88,17144
AUT,Austria,2008,875.01,17325
AUT,Austria,2009,922.72,18270
AUT,Austria,2010,890.24,17627
AUT,Austria,2011,850.65,16843
AUT,Austria,2012,851.66,16863
AUT,Austria,2013,855.72,16943
AUT,Austria,2014,967.39,19154
AUT,Austria,2015,866.89,17164
AUT,Austria,2016,797.86,15798
AUT,Austria,2017,746.1,14773
AZE,Azerbaijan,1990,12061.91,238826
AZE,Azerbaijan,1991,11330.28,224340
AZE,Azerbaijan,1992,10749.39,212838
AZE,Azerbaijan,1993,10020.77,198411
AZE,Azerbaijan,1994,9354.46,185218
AZE,Azerbaijan,1995,8990.66,178015
AZE,Azerbaijan,1996,8934.38,176901
AZE,Azerbaijan,1997,8912.27,176463
AZE,Azerbaijan,1998,11303.14,223802
AZE,Azerbaijan,1999,13719.14,271639
AZE,Azerbaijan,2000,13938.23,275977
AZE,Azerbaijan,2001,14852.78,294085
AZE,Azerbaijan,2002,15283.92,302622
AZE,Azerbaijan,2003,15327.13,303477
AZE,Azerbaijan,2004,15424.62,305407
AZE,Azerbaijan,2005,22103.79,437655
AZE,Azerbaijan,2006,32145.67,636484
AZE,Azerbaijan,2007,41548.37,822658
AZE,Azerbaijan,2008,42400.61,839532
AZE,Azerbaijan,2009,48595.38,962189
AZE,Azerbaijan,2010,48823.51,966705
AZE,Azerbaijan,2011,43661.87,864505
AZE,Azerbaijan,2012,41219.74,816151
AZE,Azerbaijan,2013,40929.3,810400
AZE,Azerbaijan,2014,39639.89,784870
AZE,Azerbaijan,2015,39229.86,776751
AZE,Azerbaijan,2016,38442.95,761170
AZE,Azerbaijan,2017,38881.13,769846
BEL,Belgium,1990,0.0,0
BEL,Belgium,1991,0.0,0
BEL,Belgium,1992,0.0,0
BEL,Belgium,1993,0.0,0
BEL,Belgium,1994,0.0,0
BEL,Belgium,1995,0.0,0
BEL,Belgium,1996,0.0,0
BEL,Belgium,1997,0.0,0
BEL,Belgium,1998,0.0,0
BEL,Belgium,1999,0.0,0
BEL,Belgium,2000,0.0,0
BEL,Belgium,2001,0.0,0
BEL,Belgium,2002,0.0,0
BEL,Belgium,2003,0.0,0
BEL,Belgium,2004,0.0,0
BEL,Belgium,2005,0.0,0
BEL,Belgium,2006,0.0,0
BEL,Belgium,2007,0.0,0
BEL,Belgium,2008,0.0,0
BEL,Belgium,2009,0.0,0
BEL,Belgium,2010,0.0,0
BEL,Belgium,2011,0.0,0
BEL,Belgium,2012,0.0,0
BEL,Belgium,2013,0.0,0
BEL,Belgium,2014,0.0,0
BEL,Belgium,2015,0.0,0
BEL,Belgium,2016,0.0,0
BEL,Belgium,2017,0.0,0
BEN,Benin,1990,209.5,4148
BEN,Benin,1991,200.35,3967
BEN,Benin,1992,138.31,2739
BEN,Benin,1993,156.62,3101
BEN,Benin,1994,131.19,2598
BEN,Benin,1995,96.62,1913
BEN,Benin,1996,81.36,1611
BEN,Benin,1997,67.12,1329
BEN,Benin,1998,51.87,1027
BEN,Benin,1999,0.0,0
BEN,Benin,2000,0.0,0
BEN,Benin,2001,0.0,0
BEN,Benin,2002,0.0,0
BEN,Benin,2003,0.0,0
BEN,Benin,2004,0.0,0
BEN,Benin,2005,0.0,0
BEN,Benin,2006,0.0,0
BEN,Benin,2007,0.0,0
BEN,Benin,2008,0.0,0
BEN,Benin,2009,0.0,0
BEN,Benin,2010,0.0,0
BEN,Benin,2011,0.0,0
BEN,Benin,2012,0.0,0
BEN,Benin,2013,0.0,0
BEN,Benin,2014,0.0,0
BEN,Benin,2015,0.0,0
BEN,Benin,2016,0.0,0
BEN,Benin,2017,0.0,0
BGD,Bangladesh,1990,19.13,379
BGD,Bangladesh,1991,13.09,259
BGD,Bangladesh,1992,10.07,199
BGD,Bangladesh,1993,7.05,140
BGD,Bangladesh,1994,5.04,100
BGD,Bangladesh,1995,0.0,0
BGD,Bangladesh,1996,0.0,0
BGD,Bangladesh,1997,0.0,0
BGD,Bangladesh,1998,0.0,0
BGD,Bangladesh,1999,0.0,0
BGD,Bangladesh,2000,0.0,0
BGD,Bangladesh,2001,0.0,0
BGD,Bangladesh,2002,0.0,0
BGD,Bangladesh,2003,0.0,0
BGD,Bangladesh,2004,0.0,0
BGD,Bangladesh,2005,0.0,0
BGD,Bangladesh,2006,0.0,0
BGD,Bangladesh,2007,0.0,0
BGD,Bangladesh,2008,0.0,0
BGD,Bangladesh,2009,0.0,0
BGD,Bangladesh,2010,0.0,0
BGD,Bangladesh,2011,0.0,0
BGD,Bangladesh,2012,0.0,0
BGD,Bangladesh,2013,0.0,0
BGD,Bangladesh,2014,0.0,0
BGD,Bangladesh,2015,0.0,0
BGD,Bangladesh,2016,0.0,0
BGD,Bangladesh,2017,0.0,0
BGR,Bulgaria,1990,61.08,1209
BGR,Bulgaria,1991,56.41,1117
BGR,Bulgaria,1992,51.55,1021
BGR,Bulgaria,1993,41.82,828
BGR,Bulgaria,1994,35.01,693
BGR,Bulgaria,1995,41.82,828
BGR,Bulgaria,1996,31.12,616
BGR,Bulgaria,1997,27.23,539
BGR,Bulgaria,1998,32.1,636
BGR,Bulgaria,1999,38.9,770
BGR,Bulgaria,2000,40.85,809
BGR,Bulgaria,2001,33.07,655
BGR,Bulgaria,2002,35.99,713
BGR,Bulgaria,2003,29.18,578
BGR,Bulgaria,2004,29.18,578
BGR,Bulgaria,2005,29.18,578
BGR,Bulgaria,2006,27.23,539
BGR,Bulgaria,2007,25.29,501
BGR,Bulgaria,2008,23.34,462
BGR,Bulgaria,2009,24.32,482
BGR,Bulgaria,2010,22.37,443
BGR,Bulgaria,2011,21.4,424
BGR,Bulgaria,2012,23.34,462
BGR,Bulgaria,2013,27.23,539
BGR,Bulgaria,2014,25.29,501
BGR,Bulgaria,2015,24.32,482
BGR,Bulgaria,2016,23.34,462
BGR,Bulgaria,2017,23.34,462
BHR,Bahrain,1990,9553.24,189154
BHR,Bahrain,1991,9555.28,189195
